id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5107,rural health,"Detailed records on healthcare access, disease prevalence, and resource allocation in rural health.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average income of farmers in each district in India?,"CREATE TABLE farmers_india (id INT, name VARCHAR(255), district_id INT, age INT, income INT); INSERT INTO farmers_india (id, name, district_id, age, income) VALUES (1, 'Farmer A', 1, 45, 50000); CREATE TABLE districts_india (id INT, name VARCHAR(255), state VARCHAR(255)); INSERT INTO districts_india (id, name, state) VALUES (1, 'District A', 'Maharashtra');","SELECT d.name, AVG(f.income) FROM farmers_india f JOIN districts_india d ON f.district_id = d.id GROUP BY d.name;","The SQL query joins the farmers_india and districts_india tables, and then groups the average income of farmers by district."
5108,marine biology,"Comprehensive data on marine species, oceanography, conservation efforts, and climate change impacts in marine biology.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average sea surface temperature in the Pacific Ocean per year?,"CREATE TABLE Ocean(id INT, region VARCHAR(20), temperature DECIMAL(5,2)); INSERT INTO Ocean(id, region, temperature) VALUES (1, 'Pacific', 20.5), (2, 'Atlantic', 18.3), (3, 'Indian', 23.2);","SELECT AVG(temperature) FROM (SELECT temperature FROM Ocean WHERE region = 'Pacific' GROUP BY temperature, YEAR(STR_TO_DATE(region, '%Y'))) AS PacificAverage;","This query calculates the average sea surface temperature in the Pacific Ocean per year. It first groups the data by temperature and year (assuming the region name contains the year information), then calculates the average temperature for the Pacific Ocean group."
5109,sustainable infrastructure,"Green building data, renewable energy infrastructure projects, carbon offset initiatives, and smart city technology adoption.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Update the end date of carbon offset initiative 'Initiative 1' in Australia to '2025-12-31'.,"CREATE TABLE carbon_offsets (initiative_id INT, initiative_name VARCHAR(255), country VARCHAR(255), start_date DATE, end_date DATE);",UPDATE carbon_offsets SET end_date = '2025-12-31' WHERE initiative_name = 'Initiative 1' AND country = 'Australia';,This SQL query updates the end date of carbon offset initiative 'Initiative 1' in Australia to '2025-12-31' by modifying the end_date value in the carbon_offsets table where the initiative_name is 'Initiative 1' and country is 'Australia'.
5110,beauty industry,"Cosmetics sales data, beauty product ingredient transparency, consumer preferences, and sustainability metrics.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",Which regions have the highest and lowest sustainability metrics for products?,"CREATE TABLE sustainability_metrics (product_id INT, carbon_footprint INT, water_usage INT, waste_generation INT, region VARCHAR(50)); INSERT INTO sustainability_metrics (product_id, carbon_footprint, water_usage, waste_generation, region) VALUES (1, 10, 50, 20, 'Northeast'), (2, 15, 60, 30, 'Southwest'), (3, 8, 40, 15, 'Midwest'); CREATE TABLE products (product_id INT, product_name VARCHAR(50)); INSERT INTO products (product_id, product_name) VALUES (1, 'Lipstick'), (2, 'Eyeshadow'), (3, 'Blush');","SELECT region, MAX(sustainability_metrics.carbon_footprint) as max_carbon_footprint, MAX(sustainability_metrics.water_usage) as max_water_usage, MAX(sustainability_metrics.waste_generation) as max_waste_generation FROM sustainability_metrics JOIN products ON sustainability_metrics.product_id = products.product_id GROUP BY region;","Retrieve the regions with the highest and lowest sustainability metrics for products by joining the sustainability_metrics table with the products table, grouping by the region column, and applying the MAX function to the carbon_footprint, water_usage, and waste_generation columns."
5111,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",basic SQL,basic SQL with a simple select statement,data definition,"creating, altering, or dropping tables and other database objects",Remove the 'vehicle_safety_testing' table and its records,"CREATE TABLE vehicle_safety_testing (id INT PRIMARY KEY, vehicle_model VARCHAR(255), test_score FLOAT);",DROP TABLE vehicle_safety_testing;,The DROP TABLE statement is used to remove the 'vehicle_safety_testing' table and all its records.
5112,marine biology,"Comprehensive data on marine species, oceanography, conservation efforts, and climate change impacts in marine biology.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Show the conservation status of marine mammals and birds by year.,"CREATE TABLE mammals (id INT, name VARCHAR(255), conservation_status VARCHAR(255), year INT); CREATE TABLE birds (id INT, name VARCHAR(255), conservation_status VARCHAR(255), year INT); CREATE VIEW combined AS SELECT 'Mammals' AS animal_group, * FROM mammals UNION ALL SELECT 'Birds', * FROM birds;","SELECT animal_group, conservation_status, year, COUNT(*) FROM combined GROUP BY animal_group, conservation_status, year;","This query uses a view to combine the mammals and birds tables, groups the combined table by the animal_group, conservation_status, and year columns, and calculates the count of records in each group."
5113,defense security,"Detailed records on military technology, intelligence operations, national security, and cybersecurity strategies.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What are the names and types of military bases located in 'California'?,"CREATE TABLE Armed_Forces (base_id INT, base_name VARCHAR(50), base_location VARCHAR(50), base_type VARCHAR(50)); INSERT INTO Armed_Forces (base_id, base_name, base_location, base_type) VALUES (1, 'Fort Bragg', 'North Carolina', 'Army'); INSERT INTO Armed_Forces (base_id, base_name, base_location, base_type) VALUES (2, 'Camp Pendleton', 'California', 'Marines');","SELECT base_name, base_type FROM Armed_Forces WHERE base_location = 'California';","This query filters the 'Armed_Forces' table to show only the records where the base_location is 'California'. It then selects the base_name and base_type columns from these records, showing the names and types of the bases located in 'California'."
5114,arts operations and management,"Data on art collections, cultural event attendance, artist demographics, museum operations, and heritage preservation efforts.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total value of artworks for each artist in the 'artists_valuation' table?,"CREATE TABLE artist (id INT, name VARCHAR(50)); INSERT INTO artist (id, name) VALUES (1, 'Picasso'), (2, 'Warhol'), (3, 'Basquiat'); CREATE TABLE artists_valuation (artist_id INT, valuation INT); INSERT INTO artists_valuation (artist_id, valuation) VALUES (1, 10000000), (1, 12000000), (2, 8000000), (2, 9000000), (3, 11000000);","SELECT a.name, SUM(av.valuation) AS total_valuation FROM artist a JOIN artists_valuation av ON a.id = av.artist_id GROUP BY a.id, a.name;",The query performs a join between the artist table and the artists_valuation table based on the artist_id. The SUM function is then applied to calculate the total valuation for each artist. The results are grouped by the artist name and id.
5115,biotechnology,"Genetic research data, bioprocess engineering information, biotech startup funding, and biosensor technology development.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",List startups that received funding for biosensor development,"CREATE TABLE startups (id INT, name VARCHAR(50), domain VARCHAR(50), location VARCHAR(50)); INSERT INTO startups (id, name, domain, location) VALUES (1, 'SensBiotech', 'Biosensors', 'CA'); INSERT INTO startups (id, name, domain, location) VALUES (2, 'BioSignal', 'Bioinformatics', 'NY'); CREATE TABLE funding (id INT, startup_id INT, amount DECIMAL(10, 2), purpose VARCHAR(50)); INSERT INTO funding (id, startup_id, amount, purpose) VALUES (1, 1, 50000.00, 'Biosensor Development'); INSERT INTO funding (id, startup_id, amount, purpose) VALUES (2, 2, 30000.00, 'Data Analysis');",SELECT s.name FROM startups s JOIN funding f ON s.id = f.startup_id WHERE s.domain = 'Biosensors' AND f.purpose = 'Biosensor Development';,"This query joins the startups and funding tables on startup_id, filtering for Biosensors startups with Biosensor Development funding and returning their names."
5116,defense operations,"Defense data on military innovation, peacekeeping operations, defense diplomacy, and humanitarian assistance.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total amount of humanitarian assistance provided by non-governmental organizations (NGOs) to countries in Africa in the last 5 years?,"CREATE TABLE HumanitarianAssistance (Country VARCHAR(50), Organization VARCHAR(50), Amount INT, Year INT); INSERT INTO HumanitarianAssistance (Country, Organization, Amount, Year) VALUES ('Kenya', 'Doctors Without Borders', 2000000, 2018), ('Nigeria', 'International Rescue Committee', 3000000, 2019), ('South Africa', 'Oxfam', 1500000, 2020), ('Ethiopia', 'Save the Children', 2500000, 2017), ('Sudan', 'Care International', 1800000, 2016);","SELECT SUM(Amount) AS TotalAssistance, Country FROM HumanitarianAssistance WHERE Organization NOT IN ('Government', 'Military') AND Year BETWEEN 2016 AND 2020 GROUP BY Country;",This query calculates the total amount of humanitarian assistance provided by non-governmental organizations (NGOs) to countries in Africa in the last 5 years. It does this by summing the amount column for rows where the organization is not in the list of government and military organizations and the year is between 2016 and 2020. The query also groups the results by country so that the total amount of assistance provided to each country is displayed separately.
5117,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of autonomous driving research papers published by country in the past year?,"CREATE TABLE ResearchPapers (ID INT, Title VARCHAR(100), PublishedDate DATE, Author VARCHAR(50), Country VARCHAR(50)); INSERT INTO ResearchPapers (ID, Title, PublishedDate, Author, Country) VALUES (1, 'AD Research 1', '2022-01-15', 'A. Smith', 'USA'), (2, 'AD Research 2', '2022-03-20', 'B. Johnson', 'Canada'), (3, 'AD Research 3', '2021-12-12', 'C. Lee', 'South Korea'), (4, 'AD Research 4', '2022-05-08', 'D. Patel', 'India'), (5, 'AD Research 5', '2021-11-01', 'E. Chen', 'China');","SELECT Country, COUNT(*) as Total_Papers FROM ResearchPapers WHERE PublishedDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) AND Author LIKE '%autonomous%' GROUP BY Country;","This query filters for autonomous driving research papers published in the past year, groups them by country, and calculates the total number of papers for each country."
5118,cybersecurity,"Threat intelligence data, vulnerability assessments, security incident response metrics, and cybersecurity policy analysis.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What are the unique combinations of security incident types and their corresponding statuses in the incident_responses table, excluding any records with 'In Progress' status?","CREATE TABLE incident_responses (incident VARCHAR(50), status VARCHAR(15)); INSERT INTO incident_responses (incident, status) VALUES ('Incident 1', 'Resolved'), ('Incident 2', 'In Progress'), ('Incident 3', 'Resolved'), ('Incident 4', 'In Progress'), ('Incident 5', 'Assessed');","SELECT incident, status FROM incident_responses WHERE status != 'In Progress' GROUP BY incident, status;","This query selects the unique combinations of incident types and statuses, excluding any records with an 'In Progress' status. It groups the result set by both columns, ensuring that only unique combinations are returned."
5119,biotechnology,"Genetic research data, bioprocess engineering information, biotech startup funding, and biosensor technology development.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum number of genetic research projects in Japan per year?,"CREATE SCHEMA if not exists genetic;CREATE TABLE if not exists genetic.projects (id INT PRIMARY KEY, name VARCHAR(100), start_date DATE);INSERT INTO genetic.projects (id, name, start_date) VALUES (1, 'ProjectX', '2018-01-01'), (2, 'ProjectY', '2020-05-15'), (3, 'ProjectZ', '2017-08-08'), (4, 'ProjectW', '2021-03-03'), (5, 'ProjectV', '2020-09-20'), (6, 'ProjectU', '2019-12-31');","SELECT YEAR(start_date) AS year, MAX(COUNT(*)) AS projects_count FROM genetic.projects GROUP BY year;","This SQL query calculates the maximum number of genetic research projects per year in Japan by using the YEAR() function to extract the year from the start_date column, and the COUNT() function to count the number of projects for each year. The query then groups the results by the year using the GROUP BY clause, and uses a subquery with the MAX() function to retrieve the maximum count of projects for each year."
5120,construction,"Building permit data, construction labor statistics, project timeline information, and sustainable building practices.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many construction projects were completed each month in 2020 and 2021?,"CREATE TABLE project_timeline (id INT, project VARCHAR(50), start_date DATE, end_date DATE); INSERT INTO project_timeline (id, project, start_date, end_date) VALUES (1, 'Office Building', '2019-12-20', '2021-04-30'), (2, 'Residential Apartments', '2021-03-01', '2022-08-01'), (3, 'School', '2020-06-15', '2021-10-15'), (4, 'Library', '2020-01-01', '2020-06-15'), (5, 'Park', '2021-01-01', '2021-12-31');","SELECT YEAR(start_date) AS year, MONTH(start_date) AS month, COUNT(*) AS projects FROM project_timeline WHERE end_date IS NOT NULL GROUP BY year, month;","The prompt asks for the number of construction projects completed each month in 2020 and 2021. We use the project_timeline table, filter the rows where the end_date is not null (meaning the project was completed), and group the results by year and month."
5121,construction,"Building permit data, construction labor statistics, project timeline information, and sustainable building practices.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average labor cost per worker per week in the 'LaborStatistics' table?,"CREATE TABLE LaborStatistics (workerID INT, laborDate DATE, hourlyRate DECIMAL(10,2), hoursWorked DECIMAL(10,2));",SELECT AVG(hourlyRate * hoursWorked * 5) AS AverageLaborCost FROM LaborStatistics;,"This query calculates the average labor cost per worker per week by multiplying the hourlyRate by hoursWorked and then by 5 (assuming 5 working days in a week), and finally calculating the average value using AVG."
5122,agriculture,"Comprehensive data on agroecology, food justice, indigenous food systems, and urban agriculture.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","List all food justice organizations in Africa, along with the number of projects they have implemented.","CREATE TABLE food_justice_orgs (org_id INT, org_name TEXT, country TEXT, num_projects INT); INSERT INTO food_justice_orgs (org_id, org_name, country, num_projects) VALUES (1, 'Org A', 'Kenya', 10), (2, 'Org B', 'Nigeria', 7), (3, 'Org C', 'South Africa', 15);","SELECT org_name, num_projects FROM food_justice_orgs WHERE country = 'Africa';","This SQL query lists all food justice organizations in Africa, along with the number of projects they have implemented. It does this by selecting the 'org_name' and 'num_projects' columns and filtering the results by the 'country' column."
5123,wildlife conservation,"Animal population data, habitat preservation efforts, and community education programs.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Retrieve the names and species of all animals that weigh more than 500 kg,"CREATE TABLE animals (id INT, name VARCHAR(20), species VARCHAR(20), weight DECIMAL(5, 2)); INSERT INTO animals (id, name, species, weight) VALUES (1, 'Elephant', 'African', 6000), (2, 'Lion', 'African', 400), (3, 'Hippo', 'African', 3000), (4, 'Tiger', 'Asian', 300), (5, 'Crane', 'African', 100), (6, 'Rhinoceros', 'African', 2000), (7, 'Zebra', 'African', 450), (8, 'Giraffe', 'African', 1200), (9, 'Bear', 'Eurasian', 600), (10, 'Crocodile', 'Nile', 700);","SELECT name, species FROM animals WHERE weight > 500;",This query filters the 'animals' table by the 'weight' column to retrieve the names and species of all animals that weigh more than 500 kg.
5124,hospitality technology,"Hotel tech adoption metrics, online travel agency data, virtual tour engagement stats, and hospitality AI trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Identify hotels with the highest virtual tour engagement in the APAC region in Q1 2022,"CREATE TABLE virtual_tour_stats (hotel_id INT, hotel_name TEXT, region TEXT, q1_2022_views INT); INSERT INTO virtual_tour_stats (hotel_id, hotel_name, region, q1_2022_views) VALUES (10, 'Hotel X', 'APAC', 500), (11, 'Hotel Y', 'APAC', 650);","SELECT hotel_name, q1_2022_views FROM virtual_tour_stats WHERE region = 'APAC' ORDER BY q1_2022_views DESC LIMIT 5;",The SQL query lists the top 5 hotels with the highest virtual tour engagement in the APAC region in Q1 2022 by filtering hotels based on the 'region' column and ordering them by Q1 2022 views in descending order. The LIMIT clause limits the output to 5 rows.
5125,cybersecurity,"Threat intelligence data, vulnerability assessments, security incident response metrics, and cybersecurity policy analysis.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights","What are the common cybersecurity policies across all departments, according to our Policy Analysis database?","CREATE TABLE PolicyAnalysis (id INT, policy VARCHAR(100), department VARCHAR(50)); INSERT INTO PolicyAnalysis (id, policy, department) VALUES (1, 'Data Access Policy', 'Sales'), (2, 'Password Policy', 'Marketing');",SELECT policy FROM PolicyAnalysis GROUP BY policy HAVING COUNT(DISTINCT department) = (SELECT COUNT(DISTINCT department) FROM PolicyAnalysis);,The SQL query groups cybersecurity policies by policy and filters the result set to only show policies that are present in all departments.
5126,venture capital,"Company founding data, investment rounds, exit strategies, and diversity metrics in the startup ecosystem.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many companies were founded by women in the San Francisco Bay Area?,"CREATE TABLE companies (id INT, name TEXT, city TEXT, state TEXT, founder_gender TEXT); INSERT INTO companies (id, name, city, state, founder_gender) VALUES (1, 'Acme Inc', 'San Francisco', 'CA', 'female');",SELECT COUNT(*) FROM companies WHERE city='San Francisco' AND state='CA' AND founder_gender='female';,"The SQL query counts the number of companies founded by women in the San Francisco Bay Area by selecting all records where the city is 'San Francisco', the state is 'CA', and the founder_gender is 'female', and then calculating the count of these records."
5127,finance,"Financial data on Shariah-compliant finance, socially responsible lending, financial capability, and financial wellbeing.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What was the total value of socially responsible loans issued to women in H2 2021?,"CREATE TABLE socially_responsible_loans (id INT, value DECIMAL(10, 2), client_gender VARCHAR(10), date DATE);",SELECT SUM(value) FROM socially_responsible_loans WHERE client_gender = 'female' AND date BETWEEN '2021-07-01' AND '2021-12-31';,Calculate the total value of loans from the socially_responsible_loans table where the client_gender is 'female' and the date is within H2 2021.
5128,space,"Space data on space exploration, satellite technology, space debris mitigation, and astrobiology.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the maximum distance of all satellites from the Earth's surface, organized by country of origin?","CREATE TABLE satellites (id INT, name VARCHAR(255), country_of_origin VARCHAR(255), avg_distance FLOAT);","SELECT country_of_origin, MAX(avg_distance) FROM satellites GROUP BY country_of_origin;",The SQL query calculates the maximum distance of all satellites from the Earth's surface for each country of origin. It does this by grouping the records in the satellites table by the country_of_origin column and then calculating the maximum distance using the MAX() function.
5129,telecommunications,"Mobile and broadband subscriber data, network infrastructure investments, customer usage patterns, and regulatory compliance information.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total data usage for mobile customers in the city of Toronto for the year 2022?,"CREATE TABLE mobile_usage (subscriber_id INT, data_usage FLOAT, city VARCHAR(20), year INT); INSERT INTO mobile_usage (subscriber_id, data_usage, city, year) VALUES (1, 3.5, 'Toronto', 2022), (2, 4.2, 'New York', 2022), (3, 3.8, 'Toronto', 2022);",SELECT SUM(data_usage) FROM mobile_usage WHERE city = 'Toronto' AND year = 2022;,"This query calculates the total data usage for mobile customers in the city of Toronto for the year 2022 by selecting the data_usage column from the mobile_usage table where the city is 'Toronto' and the year is 2022, and then calculating the sum using the SUM() function."
5130,maritime,"Vessel performance data, cargo tracking, safety records, and regulatory compliance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum cargo weight for VesselC?,"CREATE TABLE vessels (id INT, name TEXT, max_cargo_weight INT); INSERT INTO vessels (id, name, max_cargo_weight) VALUES (3, 'VesselC', 50000);",SELECT max_cargo_weight FROM vessels WHERE name = 'VesselC';,This query finds the maximum cargo weight for VesselC. It does this by selecting the max_cargo_weight column from the vessels table where the name column is equal to 'VesselC'. This will return a single row with the maximum cargo weight for that vessel.
5131,healthcare,"Healthcare data on mental health parity, cultural competency, health equity metrics, and community health workers.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the minimum cultural competency score by worker?,"CREATE TABLE worker_scores (worker_id INT, score INT); INSERT INTO worker_scores (worker_id, score) VALUES (1, 95), (2, 88), (3, 72);","SELECT worker_id, MIN(score) FROM worker_scores;",This query calculates the minimum cultural competency score by worker. It selects the worker ID and the minimum score for each worker.
5132,cybersecurity,"Threat intelligence data, vulnerability assessments, security incident response metrics, and cybersecurity policy analysis.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of security incidents that have occurred in each region in the past year?,"CREATE TABLE incident_region(id INT, region VARCHAR(50), incidents INT, incident_date DATE);","SELECT region, SUM(incidents) as total_incidents FROM incident_region WHERE incident_date > DATE(NOW()) - INTERVAL 365 DATE GROUP BY region;",The SQL query calculates the total number of security incidents that have occurred in each region in the past year using the SUM() function and the GROUP BY clause.
